,Postal_Code,Color,Station
355,5715AA,ORANJE,HELMOND ZUID
356,5721AA,ORANJE,HELMOND ZUID
357,5722AA,ORANJE,HELMOND ZUID
358,5724AA,ORANJE,HELMOND ZUID
359,5725AA,ORANJE,HELMOND ZUID
360,5731AA,ORANJE,HELMOND ZUID
361,5737AA,ROOD,AARLE-RIXTEL
362,5738AA,ROOD,AARLE-RIXTEL
363,5751AA,ROOD,HELMOND OOST
364,5752AA,ROOD,HELMOND OOST
365,5753AA,ROOD,HELMOND OOST
366,5754AA,ROOD,HELMOND OOST
367,5756AA,ROOD,HELMOND OOST
368,5757AA,ORANJE,HELMOND ZUID
369,5758AA,ORANJE,HELMOND ZUID
370,5761AA,ROOD,AARLE-RIXTEL
371,5763AA,ROOD,AARLE-RIXTEL
372,5768AA,ORANJE,HELDEN
373,5801AA,ROOD,VENRAY
374,5802AA,ROOD,VENRAY
375,5803AA,ROOD,VENRAY
376,5804AA,ROOD,VENRAY
377,5807AA,ROOD,VENRAY
378,5808AA,ROOD,VENRAY
379,5809AA,ROOD,VENRAY
380,5811AA,ROOD,VENRAY
381,5812AA,ROOD,VENRAY
382,5813AA,ROOD,VENRAY
383,5814AA,ROOD,VENRAY
384,5816AA,ROOD,VENRAY
385,5821AA,ROOD,VENRAY
386,5823AA,ROOD,VENRAY
387,5824AA,ROOD,VENRAY
388,5825AA,ROOD,VENRAY
389,5826AA,ROOD,VENRAY
390,5827AA,ROOD,VENRAY
391,5831AA,ROOD,HAPS
392,5835AA,ROOD,HAPS
393,5836AA,ROOD,HAPS
394,5841AA,ROOD,HAPS
395,5843AA,ROOD,VENRAY
396,5844AA,ROOD,HAPS
397,5845AA,ROOD,HAPS
398,5851AA,ROOD,VENRAY
399,5853AA,ROOD,VENRAY
400,5854AA,ROOD,VENRAY
401,5855AA,ROOD,VENRAY
402,5856AA,ROOD,VENRAY
403,5861AA,ROOD,VENRAY
404,5862AA,ROOD,VENRAY
405,5863AA,ROOD,VENRAY
406,5864AA,ROOD,VENRAY
407,5865AA,ROOD,HORST
408,5866AA,ROOD,HORST
409,5871AA,ROOD,HORST
410,5872AA,ROOD,HORST
411,5900AA,GEEL,BLERICK
412,5911AA,GEEL,BLERICK
413,5912AA,GEEL,BLERICK
414,5913AA,GEEL,BLERICK
415,5914AA,GEEL,BLERICK
416,5915AA,GEEL,BLERICK
417,5916AA,GEEL,BLERICK
418,5921AA,GEEL,BLERICK
419,5922AA,GEEL,BLERICK
420,5923AA,GEEL,BLERICK
421,5924AA,GEEL,BLERICK
422,5925AA,GEEL,BLERICK
423,5932AA,ORANJE,BELFELD
424,5935AA,ORANJE,BELFELD
425,5941AA,GEEL,BLERICK
426,5943AA,ROOD,HORST
427,5951AA,ORANJE,BELFELD
428,5953AA,ORANJE,BELFELD
429,5954AA,WIT,MAALBROEK
430,5961AA,ROOD,HORST
431,5962AA,ROOD,HORST
432,5963AA,ROOD,HORST
433,5964AA,ROOD,HORST
434,5970AA,ROOD,HORST
435,5971AA,ROOD,HORST
436,5975AA,ROOD,HORST
437,5981AA,ORANJE,HELDEN
438,5986AA,ORANJE,HELDEN
439,5987AA,ORANJE,HELDEN
440,5988AA,ORANJE,HELDEN
441,5991AA,ORANJE,BELFELD
442,5993AA,ORANJE,BELFELD
443,5995AA,ORANJE,HELDEN
444,6001AA,ROOD,NEDERWEERT
445,6002AA,ROOD,WEERTHEIDE
446,6003AA,ROOD,NEDERWEERT
447,6004AA,ROOD,NEDERWEERT
448,6005AA,ROOD,WEERTHEIDE
449,6006AA,ROOD,WEERTHEIDE
450,6014AA,ROOD,MAASBRACHT
451,6015AA,ROOD,KELPEN
452,6017AA,ROOD,MAASBRACHT
453,6021AA,ROOD,Maarheeze
